koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_tce_delivname_q1_q16_tce,koi_tce_delivname_q1_q17_dr24_tce,koi_tce_delivname_q1_q17_dr25_tce,koi_depth_err1,koi_time0bk_err1,koi_insol_err1,koi_model_snr,koi_kepmag,koi_period_err2,koi_slogg_err2,koi_prad_err2,koi_prad_err1,ra,koi_duration,dec,koi_period,koi_depth,koi_srad,koi_srad_err2,koi_duration_err2,koi_steff_err1,koi_time0bk,koi_slogg_err1,koi_score,koi_period_err1,koi_insol_err2,koi_teq,koi_time0bk_err2,koi_steff_err2,koi_impact_err2,koi_steff,koi_duration_err1,koi_impact_err1,koi_tce_plnt_num,koi_insol,koi_depth_err2,koi_impact,koi_prad,koi_slogg,koi_srad_err1
1,0,0,0,0.0,0.0,1.0,54.0,0.0276,2.56,8.8,15.234,-0.0101,-0.285,-0.14,0.72,294.12762,9.76,43.975128,177.8135,418.0,0.898,-0.069,-0.735,165.0,205.1936,0.029,0.0,0.0101,-0.53,310.0,-0.0276,-175.0,-0.2041,5822.0,0.735,0.2605,1.0,2.17,-54.0,0.2043,1.83,4.529,0.355
0,1,0,0,0.0,0.0,1.0,4.5,0.0102,282.59,1614.7,13.04,-0.000131,-0.162,-705.0,782.0,295.4758,13.7687,44.62149,20.84991961,313000.0,1.984,-0.48,-1.1,228.0,137.5588347,0.198,0.0,0.000107,-177.67,1099.0,-0.0118,-304.0,-0.001,7355.0,1.1,0.004,1.0,345.25,-4.5,13.715,2912.48,4.042,0.533
0,0,0,0,0.0,0.0,1.0,20.4,0.00523,19.07,23.7,14.936,-0.000217,-0.196,-0.17,0.53,296.77283,7.434,50.188419,34.4585495,431.0,0.862,-0.076,-0.148,166.0,147.82493,0.046,0.998,0.000217,-6.29,559.0,-0.00523,-203.0,-0.471,6161.0,0.148,0.031,1.0,23.05,-20.4,0.626,1.88,4.545,0.243
0,0,0,0,1.0,0.0,0.0,94.5,0.00404,3.15,34.8,15.312,-0.00316,-0.338,-0.91,3.9,288.43582,8.019,45.519852,397.499229,2630.0,1.231,-0.17,-0.189,170.0,418.76194,0.066,0.0,0.00316,-0.64,293.0,-0.00404,-267.0,-0.4824,6423.0,0.189,0.0017,1.0,1.73,-94.5,0.5839,6.57,4.37,0.73
0,1,0,0,0.0,0.0,1.0,276.0,0.000259,434.89,275.6,14.479,-1.19e-06,-0.188,-4.99,9.95,297.47104,2.8951,42.087898,3.840130917,60400.0,1.012,-0.151,-0.0233,160.0,135.139765,0.101,0.001,1.19e-06,-183.04,1205.0,-0.000259,-196.0,-0.055,5931.0,0.0233,0.987,1.0,498.48,-276.0,0.872,33.44,4.418,0.301
0,1,0,0,0.0,0.0,1.0,467.0,0.00176,63.84,1161.1,14.158,-4.6e-05,-0.186,-13.1,24.3,295.36603,19.9438,46.377232,24.0612744,440000.0,1.138,-0.178,-0.0236,181.0,138.38747,0.108,0.0,4.6e-05,-29.18,749.0,-0.00176,-250.0,-0.006,6461.0,0.0236,0.007,1.0,74.37,-467.0,0.461,83.77,4.338,0.33
1,0,0,0,0.0,0.0,1.0,4.5,0.0102,0.0,9.2,10.923,-0.000131,-0.112,-0.12,0.12,285.54712,4.85,39.06329,71.1577054,116.0,1.0,-0.066,-1.1,169.0,178.29611,0.052,0.0,0.000107,0.0,523.0,-0.0118,-79.0,-0.001,5780.0,1.1,0.004,1.0,0.35,-4.5,0.001,1.08,4.438,0.3
0,0,0,0,0.0,0.0,1.0,83.7,0.00511,5.2,14.8,15.654,-0.00026,-0.127,-0.34,0.41,291.19882,1.991,44.166241,42.8774169,1070.0,0.832,-0.105,-0.12,184.0,156.06967,0.104,1.0,0.00026,-3.31,451.0,-0.00511,-184.0,-0.02,5256.0,0.12,0.423,1.0,9.8,-83.7,0.02,2.67,4.483,0.129
0,0,0,0,0.0,0.0,1.0,12.4,0.00325,184.59,20.2,14.271,-2.18e-05,-0.2,-0.13,0.39,283.98297,2.3379,49.23299,5.41908491,231.0,0.881,-0.084,-0.0867,139.0,131.6422,0.05,0.98,2.18e-05,-60.03,989.0,-0.00325,-156.0,-0.33,5814.0,0.0867,0.396,3.0,225.71,-12.4,0.536,1.38,4.523,0.252
0,1,1,0,0.0,0.0,1.0,60.6,8.24e-05,8374.75,845.0,13.448,-7.5e-08,-0.185,-18.2,22.2,298.71249,2.81832,40.341228,0.756511623,41600.0,1.417,-0.333,-0.00487,170.0,131.9298652,0.204,0.0,7.5e-08,-4853.1,2549.0,-8.24e-05,-208.0,-0.127,6343.0,0.00487,0.035,1.0,9947.96,-60.6,1.216,77.4,4.199,0.407
